hh,grp,first_day,last_day,n_days_any,n_days_full,dropped
MAC003507,Std,2012-10-05,2014-02-05,484,466.0,0
MAC003608,Std,2012-10-11,2013-09-21,346,330.0,1
MAC003815,Std,2012-10-22,2014-02-27,494,476.0,0
MAC004181,Std,2012-05-21,2014-02-27,648,624.0,0
MAC004219,Std,2012-05-23,2014-02-27,643,621.0,0
MAC004750,Std,2012-04-02,2013-09-17,532,513.0,1
MAC004817,Std,2012-04-05,2014-02-27,694,668.0,0
MAC004845,Std,2011-12-29,2014-02-27,792,759.0,0
MAC005045,Std,2012-02-01,2014-02-27,758,730.0,0
MAC005046,Std,2012-02-01,2014-02-27,758,728.0,0
MAC005362,Std,2012-02-22,2014-02-27,737,710.0,0
MAC005511,Std,2012-04-17,2014-02-27,681,656.0,0
MAC005539,Std,2012-04-18,2014-02-27,680,657.0,0
MAC000830,ToU,2012-04-26,2014-02-27,673,648.0,0
MAC000961,ToU,2012-05-01,2014-02-27,665,637.0,0
MAC001091,ToU,2012-05-08,2014-02-27,660,634.0,0
MAC001299,ToU,2012-05-14,2014-02-27,654,631.0,0
MAC001475,ToU,2012-05-21,2014-02-27,645,619.0,0
MAC001825,ToU,2012-06-07,2014-02-27,631,606.0,0
MAC001826,ToU,2012-06-07,2014-02-27,630,608.0,0
MAC001830,ToU,2012-06-07,2014-02-27,630,604.0,0
MAC001857,ToU,2012-06-07,2014-02-27,630,607.0,0
MAC002052,ToU,2012-06-14,2014-02-27,622,596.0,0
MAC002122,ToU,2012-06-18,2014-02-27,620,598.0,0
MAC002769,ToU,2012-05-10,2013-08-21,469,449.0,1
MAC002931,ToU,2012-07-02,2014-02-27,604,581.0,0
MAC003285,ToU,2012-09-21,2013-11-13,419,403.0,1
MAC003286,ToU,2012-09-21,2014-02-27,525,498.0,0
MAC003427,ToU,2012-10-01,2014-02-27,515,496.0,0
MAC003472,ToU,2012-10-03,2014-02-27,513,492.0,0
MAC003638,ToU,2012-10-12,2014-02-27,504,486.0,0
MAC004331,ToU,2012-03-14,2014-02-27,716,684.0,0
MAC004977,ToU,2012-01-25,2014-02-27,765,738.0,0
MAC005533,ToU,2012-04-17,2014-02-27,682,656.0,0
MAC000023,Std,2011-12-07,2014-02-27,814,783.0,0
MAC000113,Std,2011-12-14,2014-02-27,801,769.0,0
MAC000169,Std,2011-11-24,2014-02-27,827,795.0,0
MAC000377,Std,2012-03-12,2014-02-27,717,687.0,0
MAC000419,Std,2012-03-21,2014-02-27,695,669.0,0
MAC000903,Std,2012-04-27,2014-02-27,671,647.0,0
MAC000934,Std,2012-05-01,2014-02-27,667,641.0,0
MAC001109,Std,2012-05-08,2014-02-27,659,635.0,0
MAC001230,Std,2012-05-14,2014-02-27,654,628.0,0
MAC001287,Std,2012-05-14,2013-02-26,288,273.0,1
MAC001310,Std,2012-05-15,2014-02-27,652,598.0,0
MAC001345,Std,2012-05-17,2014-02-27,652,618.0,0
MAC001346,Std,2012-05-17,2014-01-31,623,602.0,0
MAC001461,Std,2012-05-21,2014-02-27,648,624.0,0
MAC001524,Std,2012-05-22,2014-02-27,646,623.0,0
MAC001582,Std,2012-05-25,2013-02-20,269,259.0,1
MAC001684,Std,2012-05-29,2014-02-27,637,614.0,0
MAC001874,Std,2012-06-08,2014-02-27,629,606.0,0
MAC001983,Std,2012-06-12,2014-02-27,625,603.0,0
MAC002034,Std,2012-06-14,2014-02-27,622,592.0,0
MAC002057,Std,2012-06-17,2014-02-27,620,596.0,0
MAC002143,Std,2012-06-19,2014-02-27,619,594.0,0
MAC002192,Std,2012-06-23,2014-02-27,615,593.0,0
MAC002237,Std,2012-04-21,2014-02-27,678,653.0,0
MAC002321,Std,2012-04-24,2014-02-27,674,650.0,0
MAC002393,Std,2012-04-30,2014-02-27,666,637.0,0
MAC002441,Std,2012-04-30,2014-02-27,669,645.0,0
MAC002479,Std,2012-05-01,2014-02-27,667,639.0,0
MAC002588,Std,2012-07-10,2014-02-27,598,574.0,0
MAC002628,Std,2012-05-03,2014-02-27,666,634.0,0
MAC002630,Std,2012-05-03,2014-02-27,666,641.0,0
MAC002763,Std,2012-05-10,2014-02-27,659,634.0,0
MAC002835,Std,2012-05-11,2013-07-21,435,418.0,1
MAC002900,Std,2012-07-02,2014-02-27,605,581.0,0
MAC002965,Std,2012-07-05,2014-02-27,603,579.0,0
MAC003077,Std,2012-05-15,2014-02-27,652,625.0,0
MAC003128,Std,2012-05-16,2014-02-27,651,627.0,0
MAC003252,Std,2012-09-19,2014-02-21,518,501.0,0
